algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
first_fit,adversary,none,strong,0,0,11,6,7,1.166667,6,7,0
first_fit,adversary,none,strong,0,1,17,6,7,1.166667,6,7,0
first_fit,adversary,none,strong,0,2,33,6,7,1.166667,6,7,0
first_fit,adversary,none,strong,0,3,12,6,7,1.166667,6,7,0
first_fit,adversary,none,strong,0,4,1,1,1,1.000000,1,1,0
first_fit,adversary,none,strong,0,5,10,6,7,1.166667,6,7,0
first_fit,adversary,none,strong,0,6,41,6,8,1.333333,6,8,0
first_fit,adversary,none,strong,0,7,13,6,7,1.166667,6,7,0
first_fit,adversary,none,strong,0,8,16,6,7,1.166667,6,7,0
first_fit,adversary,none,strong,0,9,9,6,7,1.166667,6,7,0
first_fit,adversary,none,strong,0,10,9,6,7,1.166667,6,7,0
first_fit,adversary,none,strong,0,11,43,6,7,1.166667,6,7,0
first_fit,adversary,none,strong,0,12,10,6,7,1.166667,6,7,0
first_fit,adversary,none,strong,0,13,1,1,1,1.000000,1,1,0
first_fit,adversary,none,strong,0,14,13,6,7,1.166667,6,7,0
first_fit,adversary,none,strong,0,15,11,6,7,1.166667,6,7,0
first_fit,adversary,none,strong,0,16,11,6,7,1.166667,6,7,0
first_fit,adversary,none,strong,0,17,11,6,8,1.333333,6,8,0
first_fit,adversary,none,strong,0,18,8,6,7,1.166667,6,7,0
first_fit,adversary,none,strong,0,19,21,6,7,1.166667,6,7,0
