algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
kierstead_trotter,adversary,none,strong,0,0,16,3,5,1.666667,3,5,0
kierstead_trotter,adversary,none,strong,0,1,47,3,5,1.666667,3,5,0
kierstead_trotter,adversary,none,strong,0,2,9,3,5,1.666667,3,5,0
kierstead_trotter,adversary,none,strong,0,3,25,3,5,1.666667,3,5,0
kierstead_trotter,adversary,none,strong,0,4,14,3,5,1.666667,3,5,0
kierstead_trotter,adversary,none,strong,0,5,9,3,5,1.666667,3,5,0
kierstead_trotter,adversary,none,strong,0,6,6,3,5,1.666667,3,5,0
kierstead_trotter,adversary,none,strong,0,7,9,3,5,1.666667,3,5,0
kierstead_trotter,adversary,none,strong,0,8,12,3,5,1.666667,3,5,0
kierstead_trotter,adversary,none,strong,0,9,12,3,5,1.666667,3,5,0
kierstead_trotter,adversary,none,strong,0,10,11,3,5,1.666667,3,5,0
kierstead_trotter,adversary,none,strong,0,11,36,3,5,1.666667,3,5,0
kierstead_trotter,adversary,none,strong,0,12,7,3,5,1.666667,3,5,0
kierstead_trotter,adversary,none,strong,0,13,6,3,5,1.666667,3,5,0
kierstead_trotter,adversary,none,strong,0,14,14,3,5,1.666667,3,5,0
kierstead_trotter,adversary,none,strong,0,15,13,3,5,1.666667,3,5,0
kierstead_trotter,adversary,none,strong,0,16,7,3,5,1.666667,3,5,0
kierstead_trotter,adversary,none,strong,0,17,17,3,5,1.666667,3,5,0
kierstead_trotter,adversary,none,strong,0,18,11,3,5,1.666667,3,5,0
kierstead_trotter,adversary,none,strong,0,19,8,3,5,1.666667,3,5,0
