algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
kierstead_trotter,random_clustered,none,strong,0,0,1000,13,20,1.538462,13,20,0
kierstead_trotter,random_clustered,none,strong,0,1,1000,10,16,1.600000,10,16,0
kierstead_trotter,random_clustered,none,strong,0,2,1000,11,18,1.636364,11,18,0
kierstead_trotter,random_clustered,none,strong,0,3,1000,11,16,1.454545,11,16,0
kierstead_trotter,random_clustered,none,strong,0,4,1000,10,17,1.700000,10,17,0
kierstead_trotter,random_clustered,none,strong,0,5,1000,10,15,1.500000,10,15,0
kierstead_trotter,random_clustered,none,strong,0,6,1000,11,17,1.545455,11,17,0
kierstead_trotter,random_clustered,none,strong,0,7,1000,10,16,1.600000,10,16,0
kierstead_trotter,random_clustered,none,strong,0,8,1000,10,17,1.700000,10,17,0
kierstead_trotter,random_clustered,none,strong,0,9,1000,11,17,1.545455,11,17,0
kierstead_trotter,random_clustered,none,strong,0,10,1000,12,18,1.500000,12,18,0
kierstead_trotter,random_clustered,none,strong,0,11,1000,11,16,1.454545,11,16,0
kierstead_trotter,random_clustered,none,strong,0,12,1000,10,15,1.500000,10,15,0
kierstead_trotter,random_clustered,none,strong,0,13,1000,10,17,1.700000,10,17,0
kierstead_trotter,random_clustered,none,strong,0,14,1000,12,18,1.500000,12,18,0
kierstead_trotter,random_clustered,none,strong,0,15,1000,11,16,1.454545,11,16,0
kierstead_trotter,random_clustered,none,strong,0,16,1000,12,18,1.500000,12,18,0
kierstead_trotter,random_clustered,none,strong,0,17,1000,10,16,1.600000,10,16,0
kierstead_trotter,random_clustered,none,strong,0,18,1000,10,16,1.600000,10,16,0
kierstead_trotter,random_clustered,none,strong,0,19,1000,11,17,1.545455,11,17,0
kierstead_trotter,random_clustered,none,strong,0,20,1000,11,18,1.636364,11,18,0
kierstead_trotter,random_clustered,none,strong,0,21,1000,10,15,1.500000,10,15,0
kierstead_trotter,random_clustered,none,strong,0,22,1000,9,15,1.666667,9,15,0
kierstead_trotter,random_clustered,none,strong,0,23,1000,11,17,1.545455,11,17,0
kierstead_trotter,random_clustered,none,strong,0,24,1000,11,17,1.545455,11,17,0
kierstead_trotter,random_clustered,none,strong,0,25,1000,10,16,1.600000,10,16,0
kierstead_trotter,random_clustered,none,strong,0,26,1000,12,19,1.583333,12,19,0
kierstead_trotter,random_clustered,none,strong,0,27,1000,11,17,1.545455,11,17,0
kierstead_trotter,random_clustered,none,strong,0,28,1000,12,17,1.416667,12,17,0
kierstead_trotter,random_clustered,none,strong,0,29,1000,11,17,1.545455,11,17,0
kierstead_trotter,random_clustered,none,strong,0,30,1000,12,17,1.416667,12,17,0
kierstead_trotter,random_clustered,none,strong,0,31,1000,11,18,1.636364,11,18,0
kierstead_trotter,random_clustered,none,strong,0,32,1000,11,16,1.454545,11,16,0
kierstead_trotter,random_clustered,none,strong,0,33,1000,14,20,1.428571,14,20,0
kierstead_trotter,random_clustered,none,strong,0,34,1000,10,17,1.700000,10,17,0
kierstead_trotter,random_clustered,none,strong,0,35,1000,10,16,1.600000,10,16,0
kierstead_trotter,random_clustered,none,strong,0,36,1000,11,18,1.636364,11,18,0
kierstead_trotter,random_clustered,none,strong,0,37,1000,11,18,1.636364,11,18,0
kierstead_trotter,random_clustered,none,strong,0,38,1000,11,18,1.636364,11,18,0
kierstead_trotter,random_clustered,none,strong,0,39,1000,11,17,1.545455,11,17,0
kierstead_trotter,random_clustered,none,strong,0,40,1000,11,18,1.636364,11,18,0
kierstead_trotter,random_clustered,none,strong,0,41,1000,10,17,1.700000,10,17,0
kierstead_trotter,random_clustered,none,strong,0,42,1000,11,19,1.727273,11,19,0
kierstead_trotter,random_clustered,none,strong,0,43,1000,10,16,1.600000,10,16,0
kierstead_trotter,random_clustered,none,strong,0,44,1000,11,17,1.545455,11,17,0
kierstead_trotter,random_clustered,none,strong,0,45,1000,10,16,1.600000,10,16,0
kierstead_trotter,random_clustered,none,strong,0,46,1000,11,18,1.636364,11,18,0
kierstead_trotter,random_clustered,none,strong,0,47,1000,10,16,1.600000,10,16,0
kierstead_trotter,random_clustered,none,strong,0,48,1000,10,16,1.600000,10,16,0
kierstead_trotter,random_clustered,none,strong,0,49,1000,11,17,1.545455,11,17,0
kierstead_trotter,random_clustered,none,strong,0,50,1000,11,18,1.636364,11,18,0
kierstead_trotter,random_clustered,none,strong,0,51,1000,11,18,1.636364,11,18,0
kierstead_trotter,random_clustered,none,strong,0,52,1000,10,16,1.600000,10,16,0
kierstead_trotter,random_clustered,none,strong,0,53,1000,12,18,1.500000,12,18,0
kierstead_trotter,random_clustered,none,strong,0,54,1000,10,16,1.600000,10,16,0
kierstead_trotter,random_clustered,none,strong,0,55,1000,12,19,1.583333,12,19,0
kierstead_trotter,random_clustered,none,strong,0,56,1000,11,16,1.454545,11,16,0
kierstead_trotter,random_clustered,none,strong,0,57,1000,11,18,1.636364,11,18,0
kierstead_trotter,random_clustered,none,strong,0,58,1000,9,15,1.666667,9,15,0
kierstead_trotter,random_clustered,none,strong,0,59,1000,9,15,1.666667,9,15,0
kierstead_trotter,random_clustered,none,strong,0,60,1000,11,17,1.545455,11,17,0
kierstead_trotter,random_clustered,none,strong,0,61,1000,11,17,1.545455,11,17,0
kierstead_trotter,random_clustered,none,strong,0,62,1000,11,17,1.545455,11,17,0
kierstead_trotter,random_clustered,none,strong,0,63,1000,11,16,1.454545,11,16,0
kierstead_trotter,random_clustered,none,strong,0,64,1000,11,18,1.636364,11,18,0
kierstead_trotter,random_clustered,none,strong,0,65,1000,11,17,1.545455,11,17,0
kierstead_trotter,random_clustered,none,strong,0,66,1000,12,18,1.500000,12,18,0
kierstead_trotter,random_clustered,none,strong,0,67,1000,11,17,1.545455,11,17,0
kierstead_trotter,random_clustered,none,strong,0,68,1000,10,16,1.600000,10,16,0
kierstead_trotter,random_clustered,none,strong,0,69,1000,13,20,1.538462,13,20,0
kierstead_trotter,random_clustered,none,strong,0,70,1000,12,17,1.416667,12,17,0
kierstead_trotter,random_clustered,none,strong,0,71,1000,11,18,1.636364,11,18,0
kierstead_trotter,random_clustered,none,strong,0,72,1000,12,18,1.500000,12,18,0
kierstead_trotter,random_clustered,none,strong,0,73,1000,12,19,1.583333,12,19,0
kierstead_trotter,random_clustered,none,strong,0,74,1000,12,17,1.416667,12,17,0
kierstead_trotter,random_clustered,none,strong,0,75,1000,11,17,1.545455,11,17,0
kierstead_trotter,random_clustered,none,strong,0,76,1000,17,23,1.352941,17,23,0
kierstead_trotter,random_clustered,none,strong,0,77,1000,10,16,1.600000,10,16,0
kierstead_trotter,random_clustered,none,strong,0,78,1000,9,15,1.666667,9,15,0
kierstead_trotter,random_clustered,none,strong,0,79,1000,13,20,1.538462,13,20,0
kierstead_trotter,random_clustered,none,strong,0,80,1000,10,17,1.700000,10,17,0
kierstead_trotter,random_clustered,none,strong,0,81,1000,11,17,1.545455,11,17,0
kierstead_trotter,random_clustered,none,strong,0,82,1000,13,19,1.461538,13,19,0
kierstead_trotter,random_clustered,none,strong,0,83,1000,11,17,1.545455,11,17,0
kierstead_trotter,random_clustered,none,strong,0,84,1000,13,20,1.538462,13,20,0
kierstead_trotter,random_clustered,none,strong,0,85,1000,11,18,1.636364,11,18,0
kierstead_trotter,random_clustered,none,strong,0,86,1000,10,16,1.600000,10,16,0
kierstead_trotter,random_clustered,none,strong,0,87,1000,12,18,1.500000,12,18,0
kierstead_trotter,random_clustered,none,strong,0,88,1000,10,15,1.500000,10,15,0
kierstead_trotter,random_clustered,none,strong,0,89,1000,12,19,1.583333,12,19,0
kierstead_trotter,random_clustered,none,strong,0,90,1000,10,15,1.500000,10,15,0
kierstead_trotter,random_clustered,none,strong,0,91,1000,11,17,1.545455,11,17,0
kierstead_trotter,random_clustered,none,strong,0,92,1000,11,16,1.454545,11,16,0
kierstead_trotter,random_clustered,none,strong,0,93,1000,10,17,1.700000,10,17,0
kierstead_trotter,random_clustered,none,strong,0,94,1000,10,18,1.800000,10,18,0
kierstead_trotter,random_clustered,none,strong,0,95,1000,11,18,1.636364,11,18,0
kierstead_trotter,random_clustered,none,strong,0,96,1000,13,20,1.538462,13,20,0
kierstead_trotter,random_clustered,none,strong,0,97,1000,11,17,1.545455,11,17,0
kierstead_trotter,random_clustered,none,strong,0,98,1000,10,18,1.800000,10,18,0
kierstead_trotter,random_clustered,none,strong,0,99,1000,12,19,1.583333,12,19,0
