algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
kierstead_trotter,random_uniform,none,strong,0,0,1000,540,660,1.222222,540,660,0
kierstead_trotter,random_uniform,none,strong,0,1,1000,527,641,1.216319,527,641,0
kierstead_trotter,random_uniform,none,strong,0,2,1000,509,647,1.271120,509,647,0
kierstead_trotter,random_uniform,none,strong,0,3,1000,494,640,1.295547,494,640,0
kierstead_trotter,random_uniform,none,strong,0,4,1000,519,663,1.277457,519,663,0
kierstead_trotter,random_uniform,none,strong,0,5,1000,514,648,1.260700,514,648,0
kierstead_trotter,random_uniform,none,strong,0,6,1000,525,661,1.259048,525,661,0
kierstead_trotter,random_uniform,none,strong,0,7,1000,529,654,1.236295,529,654,0
kierstead_trotter,random_uniform,none,strong,0,8,1000,520,651,1.251923,520,651,0
kierstead_trotter,random_uniform,none,strong,0,9,1000,528,655,1.240530,528,655,0
kierstead_trotter,random_uniform,none,strong,0,10,1000,508,640,1.259843,508,640,0
kierstead_trotter,random_uniform,none,strong,0,11,1000,511,651,1.273973,511,651,0
kierstead_trotter,random_uniform,none,strong,0,12,1000,483,620,1.283644,483,620,0
kierstead_trotter,random_uniform,none,strong,0,13,1000,497,625,1.257545,497,625,0
kierstead_trotter,random_uniform,none,strong,0,14,1000,512,646,1.261719,512,646,0
kierstead_trotter,random_uniform,none,strong,0,15,1000,499,639,1.280561,499,639,0
kierstead_trotter,random_uniform,none,strong,0,16,1000,504,642,1.273810,504,642,0
kierstead_trotter,random_uniform,none,strong,0,17,1000,525,642,1.222857,525,642,0
kierstead_trotter,random_uniform,none,strong,0,18,1000,524,667,1.272901,524,667,0
kierstead_trotter,random_uniform,none,strong,0,19,1000,522,650,1.245211,522,650,0
kierstead_trotter,random_uniform,none,strong,0,20,1000,503,643,1.278330,503,643,0
kierstead_trotter,random_uniform,none,strong,0,21,1000,514,649,1.262646,514,649,0
kierstead_trotter,random_uniform,none,strong,0,22,1000,512,643,1.255859,512,643,0
kierstead_trotter,random_uniform,none,strong,0,23,1000,514,650,1.264591,514,650,0
kierstead_trotter,random_uniform,none,strong,0,24,1000,521,645,1.238004,521,645,0
kierstead_trotter,random_uniform,none,strong,0,25,1000,522,663,1.270115,522,663,0
kierstead_trotter,random_uniform,none,strong,0,26,1000,498,639,1.283133,498,639,0
kierstead_trotter,random_uniform,none,strong,0,27,1000,513,658,1.282651,513,658,0
kierstead_trotter,random_uniform,none,strong,0,28,1000,510,641,1.256863,510,641,0
kierstead_trotter,random_uniform,none,strong,0,29,1000,510,635,1.245098,510,635,0
kierstead_trotter,random_uniform,none,strong,0,30,1000,505,626,1.239604,505,626,0
kierstead_trotter,random_uniform,none,strong,0,31,1000,511,647,1.266145,511,647,0
kierstead_trotter,random_uniform,none,strong,0,32,1000,528,649,1.229167,528,649,0
kierstead_trotter,random_uniform,none,strong,0,33,1000,474,608,1.282700,474,608,0
kierstead_trotter,random_uniform,none,strong,0,34,1000,537,666,1.240223,537,666,0
kierstead_trotter,random_uniform,none,strong,0,35,1000,513,640,1.247563,513,640,0
