algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
lookahead,random_uniform,none,strong,0,0,1000,540,544,1.007407,540,544,0
lookahead,random_uniform,none,strong,0,1,1000,527,538,1.020873,527,538,0
lookahead,random_uniform,none,strong,0,2,1000,509,522,1.025540,509,522,0
lookahead,random_uniform,none,strong,0,3,1000,494,506,1.024291,494,506,0
lookahead,random_uniform,none,strong,0,4,1000,519,529,1.019268,519,529,0
lookahead,random_uniform,none,strong,0,5,1000,514,525,1.021401,514,525,0
lookahead,random_uniform,none,strong,0,6,1000,525,534,1.017143,525,534,0
lookahead,random_uniform,none,strong,0,7,1000,529,538,1.017013,529,538,0
lookahead,random_uniform,none,strong,0,8,1000,520,528,1.015385,520,528,0
lookahead,random_uniform,none,strong,0,9,1000,528,535,1.013258,528,535,0
lookahead,random_uniform,none,strong,0,10,1000,508,519,1.021654,508,519,0
lookahead,random_uniform,none,strong,0,11,1000,511,524,1.025440,511,524,0
lookahead,random_uniform,none,strong,0,12,1000,483,500,1.035197,483,500,0
lookahead,random_uniform,none,strong,0,13,1000,497,507,1.020121,497,507,0
lookahead,random_uniform,none,strong,0,14,1000,512,523,1.021484,512,523,0
lookahead,random_uniform,none,strong,0,15,1000,499,514,1.030060,499,514,0
lookahead,random_uniform,none,strong,0,16,1000,504,517,1.025794,504,517,0
lookahead,random_uniform,none,strong,0,17,1000,525,534,1.017143,525,534,0
lookahead,random_uniform,none,strong,0,18,1000,524,535,1.020992,524,535,0
lookahead,random_uniform,none,strong,0,19,1000,522,536,1.026820,522,536,0
lookahead,random_uniform,none,strong,0,20,1000,503,516,1.025845,503,516,0
lookahead,random_uniform,none,strong,0,21,1000,514,525,1.021401,514,525,0
lookahead,random_uniform,none,strong,0,22,1000,512,518,1.011719,512,518,0
lookahead,random_uniform,none,strong,0,23,1000,514,524,1.019455,514,524,0
lookahead,random_uniform,none,strong,0,24,1000,521,529,1.015355,521,529,0
lookahead,random_uniform,none,strong,0,25,1000,522,535,1.024904,522,535,0
lookahead,random_uniform,none,strong,0,26,1000,498,507,1.018072,498,507,0
lookahead,random_uniform,none,strong,0,27,1000,513,520,1.013645,513,520,0
lookahead,random_uniform,none,strong,0,28,1000,510,522,1.023529,510,522,0
lookahead,random_uniform,none,strong,0,29,1000,510,514,1.007843,510,514,0
lookahead,random_uniform,none,strong,0,30,1000,505,509,1.007921,505,509,0
lookahead,random_uniform,none,strong,0,31,1000,511,517,1.011742,511,517,0
lookahead,random_uniform,none,strong,0,32,1000,528,536,1.015152,528,536,0
lookahead,random_uniform,none,strong,0,33,1000,474,484,1.021097,474,484,0
lookahead,random_uniform,none,strong,0,34,1000,537,545,1.014898,537,545,0
lookahead,random_uniform,none,strong,0,35,1000,513,521,1.015595,513,521,0
lookahead,random_uniform,none,strong,0,36,1000,512,522,1.019531,512,522,0
lookahead,random_uniform,none,strong,0,37,1000,542,547,1.009225,542,547,0
lookahead,random_uniform,none,strong,0,38,1000,517,532,1.029014,517,532,0
lookahead,random_uniform,none,strong,0,39,1000,512,520,1.015625,512,520,0
lookahead,random_uniform,none,strong,0,40,1000,518,527,1.017375,518,527,0
lookahead,random_uniform,none,strong,0,41,1000,501,512,1.021956,501,512,0
lookahead,random_uniform,none,strong,0,42,1000,509,519,1.019646,509,519,0
lookahead,random_uniform,none,strong,0,43,1000,525,534,1.017143,525,534,0
lookahead,random_uniform,none,strong,0,44,1000,511,521,1.019569,511,521,0
lookahead,random_uniform,none,strong,0,45,1000,535,542,1.013084,535,542,0
lookahead,random_uniform,none,strong,0,46,1000,510,522,1.023529,510,522,0
lookahead,random_uniform,none,strong,0,47,1000,506,512,1.011858,506,512,0
lookahead,random_uniform,none,strong,0,48,1000,491,502,1.022403,491,502,0
lookahead,random_uniform,none,strong,0,49,1000,507,513,1.011834,507,513,0
lookahead,random_uniform,none,strong,0,50,1000,504,515,1.021825,504,515,0
lookahead,random_uniform,none,strong,0,51,1000,504,513,1.017857,504,513,0
lookahead,random_uniform,none,strong,0,52,1000,505,512,1.013861,505,512,0
lookahead,random_uniform,none,strong,0,53,1000,491,504,1.026477,491,504,0
lookahead,random_uniform,none,strong,0,54,1000,482,499,1.035270,482,499,0
lookahead,random_uniform,none,strong,0,55,1000,525,530,1.009524,525,530,0
lookahead,random_uniform,none,strong,0,56,1000,524,533,1.017176,524,533,0
lookahead,random_uniform,none,strong,0,57,1000,504,514,1.019841,504,514,0
lookahead,random_uniform,none,strong,0,58,1000,497,512,1.030181,497,512,0
lookahead,random_uniform,none,strong,0,59,1000,516,522,1.011628,516,522,0
lookahead,random_uniform,none,strong,0,60,1000,501,515,1.027944,501,515,0
lookahead,random_uniform,none,strong,0,61,1000,483,495,1.024845,483,495,0
lookahead,random_uniform,none,strong,0,62,1000,515,524,1.017476,515,524,0
lookahead,random_uniform,none,strong,0,63,1000,484,498,1.028926,484,498,0
lookahead,random_uniform,none,strong,0,64,1000,511,520,1.017613,511,520,0
lookahead,random_uniform,none,strong,0,65,1000,505,512,1.013861,505,512,0
lookahead,random_uniform,none,strong,0,66,1000,487,498,1.022587,487,498,0
lookahead,random_uniform,none,strong,0,67,1000,506,518,1.023715,506,518,0
lookahead,random_uniform,none,strong,0,68,1000,502,510,1.015936,502,510,0
lookahead,random_uniform,none,strong,0,69,1000,496,507,1.022177,496,507,0
lookahead,random_uniform,none,strong,0,70,1000,490,504,1.028571,490,504,0
