algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
lookahead,random_clustered,none,weak,200,0,200,6,6,1.000000,6,6,0
lookahead,random_clustered,none,weak,200,1,200,6,6,1.000000,6,6,0
lookahead,random_clustered,none,weak,200,2,200,6,6,1.000000,6,6,0
lookahead,random_clustered,none,weak,200,3,200,5,5,1.000000,5,5,0
lookahead,random_clustered,none,weak,200,4,200,6,6,1.000000,6,6,0
lookahead,random_clustered,none,weak,200,5,200,6,6,1.000000,6,6,0
lookahead,random_clustered,none,weak,200,6,200,7,7,1.000000,7,7,0
lookahead,random_clustered,none,weak,200,7,200,6,6,1.000000,6,6,0
lookahead,random_clustered,none,weak,200,8,200,6,6,1.000000,6,6,0
lookahead,random_clustered,none,weak,200,9,200,5,5,1.000000,5,5,0
lookahead,random_clustered,none,weak,200,10,200,7,7,1.000000,7,7,0
lookahead,random_clustered,none,weak,200,11,200,5,5,1.000000,5,5,0
lookahead,random_clustered,none,weak,200,12,200,6,6,1.000000,6,6,0
lookahead,random_clustered,none,weak,200,13,200,5,5,1.000000,5,5,0
lookahead,random_clustered,none,weak,200,14,200,7,7,1.000000,7,7,0
lookahead,random_clustered,none,weak,200,15,200,6,6,1.000000,6,6,0
lookahead,random_clustered,none,weak,200,16,200,6,6,1.000000,6,6,0
lookahead,random_clustered,none,weak,200,17,200,8,8,1.000000,8,8,0
lookahead,random_clustered,none,weak,200,18,200,6,6,1.000000,6,6,0
lookahead,random_clustered,none,weak,200,19,200,6,6,1.000000,6,6,0
lookahead,random_clustered,none,weak,200,20,200,6,6,1.000000,6,6,0
lookahead,random_clustered,none,weak,200,21,200,7,7,1.000000,7,7,0
lookahead,random_clustered,none,weak,200,22,200,6,6,1.000000,6,6,0
lookahead,random_clustered,none,weak,200,23,200,6,6,1.000000,6,6,0
lookahead,random_clustered,none,weak,200,24,200,6,6,1.000000,6,6,0
lookahead,random_clustered,none,weak,200,25,200,5,5,1.000000,5,5,0
lookahead,random_clustered,none,weak,200,26,200,4,4,1.000000,4,4,0
lookahead,random_clustered,none,weak,200,27,200,6,6,1.000000,6,6,0
lookahead,random_clustered,none,weak,200,28,200,6,6,1.000000,6,6,0
lookahead,random_clustered,none,weak,200,29,200,5,5,1.000000,5,5,0
lookahead,random_clustered,none,weak,200,30,200,6,6,1.000000,6,6,0
lookahead,random_clustered,none,weak,200,31,200,7,7,1.000000,7,7,0
lookahead,random_clustered,none,weak,200,32,200,6,6,1.000000,6,6,0
lookahead,random_clustered,none,weak,200,33,200,6,6,1.000000,6,6,0
lookahead,random_clustered,none,weak,200,34,200,5,5,1.000000,5,5,0
lookahead,random_clustered,none,weak,200,35,200,7,7,1.000000,7,7,0
lookahead,random_clustered,none,weak,200,36,200,5,5,1.000000,5,5,0
lookahead,random_clustered,none,weak,200,37,200,5,5,1.000000,5,5,0
lookahead,random_clustered,none,weak,200,38,200,6,6,1.000000,6,6,0
lookahead,random_clustered,none,weak,200,39,200,7,7,1.000000,7,7,0
