algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
lookahead,random_uniform,none,weak,200,0,200,104,104,1.000000,104,104,0
lookahead,random_uniform,none,weak,200,1,200,110,110,1.000000,110,110,0
lookahead,random_uniform,none,weak,200,2,200,104,104,1.000000,104,104,0
lookahead,random_uniform,none,weak,200,3,200,92,92,1.000000,92,92,0
lookahead,random_uniform,none,weak,200,4,200,99,99,1.000000,99,99,0
lookahead,random_uniform,none,weak,200,5,200,110,110,1.000000,110,110,0
lookahead,random_uniform,none,weak,200,6,200,111,111,1.000000,111,111,0
lookahead,random_uniform,none,weak,200,7,200,109,109,1.000000,109,109,0
lookahead,random_uniform,none,weak,200,8,200,106,106,1.000000,106,106,0
lookahead,random_uniform,none,weak,200,9,200,109,109,1.000000,109,109,0
lookahead,random_uniform,none,weak,200,10,200,105,105,1.000000,105,105,0
lookahead,random_uniform,none,weak,200,11,200,106,106,1.000000,106,106,0
lookahead,random_uniform,none,weak,200,12,200,104,104,1.000000,104,104,0
lookahead,random_uniform,none,weak,200,13,200,105,105,1.000000,105,105,0
lookahead,random_uniform,none,weak,200,14,200,102,102,1.000000,102,102,0
lookahead,random_uniform,none,weak,200,15,200,103,103,1.000000,103,103,0
lookahead,random_uniform,none,weak,200,16,200,100,100,1.000000,100,100,0
lookahead,random_uniform,none,weak,200,17,200,120,120,1.000000,120,120,0
lookahead,random_uniform,none,weak,200,18,200,107,107,1.000000,107,107,0
lookahead,random_uniform,none,weak,200,19,200,106,106,1.000000,106,106,0
lookahead,random_uniform,none,weak,200,20,200,106,106,1.000000,106,106,0
lookahead,random_uniform,none,weak,200,21,200,108,108,1.000000,108,108,0
lookahead,random_uniform,none,weak,200,22,200,102,102,1.000000,102,102,0
lookahead,random_uniform,none,weak,200,23,200,99,99,1.000000,99,99,0
lookahead,random_uniform,none,weak,200,24,200,113,113,1.000000,113,113,0
lookahead,random_uniform,none,weak,200,25,200,107,107,1.000000,107,107,0
lookahead,random_uniform,none,weak,200,26,200,98,98,1.000000,98,98,0
lookahead,random_uniform,none,weak,200,27,200,108,108,1.000000,108,108,0
lookahead,random_uniform,none,weak,200,28,200,111,111,1.000000,111,111,0
lookahead,random_uniform,none,weak,200,29,200,118,118,1.000000,118,118,0
lookahead,random_uniform,none,weak,200,30,200,96,96,1.000000,96,96,0
lookahead,random_uniform,none,weak,200,31,200,110,110,1.000000,110,110,0
lookahead,random_uniform,none,weak,200,32,200,110,110,1.000000,110,110,0
lookahead,random_uniform,none,weak,200,33,200,99,99,1.000000,99,99,0
lookahead,random_uniform,none,weak,200,34,200,126,126,1.000000,126,126,0
lookahead,random_uniform,none,weak,200,35,200,105,105,1.000000,105,105,0
lookahead,random_uniform,none,weak,200,36,200,101,101,1.000000,101,101,0
lookahead,random_uniform,none,weak,200,37,200,97,97,1.000000,97,97,0
lookahead,random_uniform,none,weak,200,38,200,113,113,1.000000,113,113,0
lookahead,random_uniform,none,weak,200,39,200,111,111,1.000000,111,111,0
