algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
lookahead,adversary,none,strong,32,0,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,32,1,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,32,2,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,32,3,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,32,4,13,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,32,5,31,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,32,6,7,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,32,7,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,32,8,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,32,9,14,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,32,10,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,32,11,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,32,12,12,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,32,13,11,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,32,14,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,32,15,12,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,32,16,10,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,32,17,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,32,18,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,32,19,8,5,5,1.000000,5,5,0
