algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
kierstead_trotter,adversary,none,strong,64,0,60,5,8,1.600000,5,8,0
kierstead_trotter,adversary,none,strong,64,1,42,5,8,1.600000,5,8,0
kierstead_trotter,adversary,none,strong,64,2,89,5,9,1.800000,5,9,0
kierstead_trotter,adversary,none,strong,64,3,75,5,9,1.800000,5,9,0
kierstead_trotter,adversary,none,strong,64,4,31,5,9,1.800000,5,9,0
kierstead_trotter,adversary,none,strong,64,5,58,5,8,1.600000,5,8,0
kierstead_trotter,adversary,none,strong,64,6,25,5,8,1.600000,5,8,0
kierstead_trotter,adversary,none,strong,64,7,31,5,9,1.800000,5,9,0
kierstead_trotter,adversary,none,strong,64,8,39,5,9,1.800000,5,9,0
kierstead_trotter,adversary,none,strong,64,9,52,5,8,1.600000,5,8,0
kierstead_trotter,adversary,none,strong,64,10,57,5,9,1.800000,5,9,0
kierstead_trotter,adversary,none,strong,64,11,17,5,8,1.600000,5,8,0
kierstead_trotter,adversary,none,strong,64,12,17,5,8,1.600000,5,8,0
kierstead_trotter,adversary,none,strong,64,13,32,5,9,1.800000,5,9,0
kierstead_trotter,adversary,none,strong,64,14,34,5,9,1.800000,5,9,0
kierstead_trotter,adversary,none,strong,64,15,58,5,9,1.800000,5,9,0
kierstead_trotter,adversary,none,strong,64,16,61,5,9,1.800000,5,9,0
kierstead_trotter,adversary,none,strong,64,17,76,5,9,1.800000,5,9,0
kierstead_trotter,adversary,none,strong,64,18,54,5,9,1.800000,5,9,0
kierstead_trotter,adversary,none,strong,64,19,33,5,8,1.600000,5,8,0
