algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
lookahead,adversary,strong,strong,1,0,18,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,1,1,16,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,1,2,18,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,1,3,16,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,1,4,26,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,1,5,62,5,6,1.200000,5,6,0
lookahead,adversary,strong,strong,1,6,14,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,1,7,16,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,1,8,16,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,1,9,28,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,1,10,18,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,1,11,16,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,1,12,24,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,1,13,22,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,1,14,18,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,1,15,24,6,7,1.166667,5,7,0
lookahead,adversary,strong,strong,1,16,20,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,1,17,16,6,7,1.166667,5,6,0
lookahead,adversary,strong,strong,1,18,18,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,1,19,16,6,6,1.000000,5,6,0
