algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
lookahead,adversary,weak,weak,64,0,585,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,64,1,520,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,64,2,585,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,64,3,520,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,64,4,845,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,64,5,2015,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,64,6,455,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,64,7,520,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,64,8,520,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,64,9,910,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,64,10,585,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,64,11,520,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,64,12,780,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,64,13,715,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,64,14,585,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,64,15,780,5,7,1.400000,5,7,0
lookahead,adversary,weak,weak,64,16,650,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,64,17,520,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,64,18,585,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,64,19,520,5,6,1.200000,5,6,0
